Date,Open,High,Low,Close,Adj Close,Volume
2024-01-09,24.420000,24.420000,24.250000,24.278999,24.278999,2900
2024-01-10,24.680000,24.680000,24.208000,24.208000,24.208000,1000
2024-01-11,25.020000,25.040001,24.855000,24.855000,24.855000,1300
2024-01-12,27.520000,27.520000,25.200001,25.490999,25.490999,23700
2024-01-16,26.343000,26.493999,25.930000,26.410000,26.410000,5900
2024-01-17,27.180000,27.180000,26.615999,26.615999,26.615999,4700
2024-01-18,26.420000,26.780001,26.155001,26.155001,26.155001,800
2024-01-19,26.080000,26.080000,24.889999,24.889999,24.889999,5200
2024-01-22,24.020000,24.112000,23.657000,23.657000,23.657000,1500
2024-01-23,23.600000,24.132000,23.600000,24.132000,24.132000,600
2024-01-24,23.930000,23.930000,23.320999,23.760000,23.760000,500
2024-01-25,23.795000,24.400000,23.650000,24.070000,24.070000,9900
2024-01-26,23.799999,23.799999,23.559999,23.780001,23.780001,1600
2024-01-29,23.700001,23.700001,23.040001,23.040001,23.040001,3300
